[2015-12-08 13:09:24.523] [ERROR] company_id_error - name is :上海仝远实业有限公司, company_id is null
[2015-12-08 13:09:24.523] [ERROR] company_id_error - name is :上海涌涤实业有限公司, company_id is null
[2015-12-08 13:09:24.588] [ERROR] company_id_error - name is :上海燕蕤实业有限公司, company_id is null
[2015-12-08 13:09:31.970] [ERROR] company_id_error - name is :上海丞毅实业有限公司, company_id is null
[2015-12-08 13:09:32.145] [ERROR] company_id_error - name is :上海祎阳实业有限公司, company_id is null
[2015-12-08 13:09:32.149] [ERROR] company_id_error - name is :上海洲溪实业有限公司, company_id is null
[2015-12-08 13:09:32.287] [ERROR] company_id_error - name is :上海彬郁实业有限公司, company_id is null
[2015-12-08 13:09:32.302] [ERROR] company_id_error - name is :上海其琛实业有限公司, company_id is null
[2015-12-08 13:09:32.343] [ERROR] company_id_error - name is :上海汇磐实业有限公司, company_id is null
[2015-12-08 13:09:32.401] [ERROR] company_id_error - name is :上海徽宣实业有限公司, company_id is null
[2015-12-08 13:09:32.405] [ERROR] company_id_error - name is :上海放逐之刃实业有限公司, company_id is null
[2015-12-08 13:09:32.605] [ERROR] company_id_error - name is :上海尤伊实业有限公司, company_id is null
[2015-12-08 13:09:32.636] [ERROR] company_id_error - name is :上海朴因实业有限公司, company_id is null
[2015-12-08 13:09:32.686] [ERROR] company_id_error - name is :上海御霸实业有限公司, company_id is null
[2015-12-08 13:09:32.788] [ERROR] company_id_error - name is :上海轩嫣实业有限公司, company_id is null
[2015-12-08 13:09:32.803] [ERROR] company_id_error - name is :上海沃玄实业有限公司, company_id is null
[2015-12-08 13:09:32.846] [ERROR] company_id_error - name is :上海斯马利实业有限公司, company_id is null
[2015-12-08 13:09:33.303] [ERROR] company_id_error - name is :上海逸飒实业有限公司, company_id is null
[2015-12-08 13:09:33.546] [ERROR] company_id_error - name is :上海铁裕实业有限公司, company_id is null
[2015-12-08 13:09:33.589] [ERROR] company_id_error - name is :上海礼赫实业有限公司, company_id is null
[2015-12-08 13:09:33.653] [ERROR] company_id_error - name is :上海煌凌实业有限公司, company_id is null
[2015-12-08 13:09:33.773] [ERROR] company_id_error - name is :上海虞州实业有限公司, company_id is null
[2015-12-08 13:09:33.796] [ERROR] company_id_error - name is :上海蓝叙实业有限公司, company_id is null
[2015-12-08 13:09:42.625] [ERROR] company_id_error - name is :上海巧英实业有限公司, company_id is null
[2015-12-08 13:09:42.629] [ERROR] company_id_error - name is :上海都灏实业有限公司, company_id is null
[2015-12-08 13:09:43.330] [ERROR] company_id_error - name is :上海亦烁实业有限公司, company_id is null
[2015-12-08 13:09:43.330] [ERROR] company_id_error - name is :医跃（上海）实业有限公司, company_id is null
[2015-12-08 13:09:43.504] [ERROR] company_id_error - name is :上海御贯实业有限公司, company_id is null
[2015-12-08 13:09:43.504] [ERROR] company_id_error - name is :上海缀嘉实业有限公司, company_id is null
[2015-12-08 13:09:43.755] [ERROR] company_id_error - name is :上海贞越实业有限公司, company_id is null
[2015-12-08 13:09:44.008] [ERROR] company_id_error - name is :上海筱捷实业有限公司, company_id is null
[2015-12-08 13:09:44.013] [ERROR] company_id_error - name is :上海义广实业有限公司, company_id is null
[2015-12-08 13:09:44.103] [ERROR] company_id_error - name is :上海科乌实业有限公司, company_id is null
[2015-12-08 13:09:44.122] [ERROR] company_id_error - name is :上海仁契实业有限公司, company_id is null
[2015-12-08 13:09:44.280] [ERROR] company_id_error - name is :上海戈侬实业有限公司, company_id is null
[2015-12-08 13:09:44.280] [ERROR] company_id_error - name is :上海侗霞实业有限公司, company_id is null
[2015-12-08 13:09:44.336] [ERROR] company_id_error - name is :上海鲜沂实业有限公司, company_id is null
[2015-12-08 13:09:44.340] [ERROR] company_id_error - name is :上海琴系实业有限公司, company_id is null
[2015-12-08 13:09:44.347] [ERROR] company_id_error - name is :上海滨迪实业有限公司, company_id is null
[2015-12-08 13:09:44.351] [ERROR] company_id_error - name is :上海辟泉实业有限公司, company_id is null
[2015-12-08 13:09:44.355] [ERROR] company_id_error - name is :上海跨技实业有限公司, company_id is null
[2015-12-08 13:09:44.357] [ERROR] company_id_error - name is :上海海缪实业有限公司, company_id is null
[2015-12-08 13:09:44.360] [ERROR] company_id_error - name is :上海儒帅实业有限公司, company_id is null
[2015-12-08 13:09:44.363] [ERROR] company_id_error - name is :上海凯桃实业有限公司, company_id is null
[2015-12-08 13:09:44.367] [ERROR] company_id_error - name is :上海旁帆实业有限公司, company_id is null
[2015-12-08 13:09:44.370] [ERROR] company_id_error - name is :上海卉心实业有限公司, company_id is null
[2015-12-08 13:09:44.422] [ERROR] company_id_error - name is :上海拾达实业有限公司, company_id is null
[2015-12-08 13:09:44.488] [ERROR] company_id_error - name is :上海鹿马格实业有限公司, company_id is null
[2015-12-08 13:09:45.355] [ERROR] company_id_error - name is :上海礼博实业发展有限公司, company_id is null
[2015-12-08 13:09:45.522] [ERROR] company_id_error - name is :上海帆陆实业有限公司, company_id is null
[2015-12-08 13:09:45.606] [ERROR] company_id_error - name is :上海慈伊实业有限公司, company_id is null
[2015-12-08 13:09:52.072] [ERROR] company_id_error - name is :上海喆涛实业有限公司, company_id is null
[2015-12-08 13:12:59.935] [ERROR] company_id_error - name is :上海融加实业发展有限公司, company_id is null
[2015-12-08 13:12:59.935] [ERROR] company_id_error - name is :上海霖柜实业有限公司, company_id is null
[2015-12-08 13:12:59.950] [ERROR] company_id_error - name is :上海顶欢实业有限公司, company_id is null
[2015-12-08 13:12:59.950] [ERROR] company_id_error - name is :上海谦煌实业有限公司, company_id is null
[2015-12-08 13:13:00.101] [ERROR] company_id_error - name is :上海犇帅实业有限公司, company_id is null
[2015-12-08 13:13:00.121] [ERROR] company_id_error - name is :上海稳飞实业有限公司, company_id is null
