[2015-12-06 18:37:54.912] [ERROR] company_id_error - name is :上海洛泓国际贸易有限公司, company_id is null
[2015-12-06 18:37:54.946] [ERROR] company_id_error - name is :上海禾荆贸易有限公司, company_id is null
[2015-12-06 18:37:54.965] [ERROR] company_id_error - name is :上海点邦贸易有限公司, company_id is null
[2015-12-06 18:37:55.073] [ERROR] company_id_error - name is :大弋（上海）国际贸易有限公司, company_id is null
[2015-12-06 18:37:55.167] [ERROR] company_id_error - name is :上海岑邑贸易有限公司, company_id is null
[2015-12-06 18:37:55.174] [ERROR] company_id_error - name is :上海谓默贸易有限公司, company_id is null
[2015-12-06 18:37:55.271] [ERROR] company_id_error - name is :上海释钢国际贸易有限公司, company_id is null
[2015-12-06 18:37:55.337] [ERROR] company_id_error - name is :上海常露贸易有限公司, company_id is null
[2015-12-06 18:37:55.343] [ERROR] company_id_error - name is :上海门卉贸易有限公司, company_id is null
[2015-12-06 18:37:55.474] [ERROR] company_id_error - name is :上海比奎贸易有限公司, company_id is null
[2015-12-06 18:37:56.340] [ERROR] company_id_error - name is :上海震嘉国际贸易有限公司, company_id is null
[2015-12-06 18:37:56.414] [ERROR] company_id_error - name is :上海卧茂贸易有限公司, company_id is null
[2015-12-06 18:37:56.526] [ERROR] company_id_error - name is :上海文帜贸易有限公司, company_id is null
[2015-12-06 18:37:56.637] [ERROR] company_id_error - name is :上海嘉抚贸易中心, company_id is null
[2015-12-06 18:37:56.643] [ERROR] company_id_error - name is :上海邦同贸易商行, company_id is null
[2015-12-06 18:38:06.821] [ERROR] company_id_error - name is :湛义贸易（上海）有限公司, company_id is null
[2015-12-06 18:38:07.005] [ERROR] company_id_error - name is :上海振贝贸易有限公司, company_id is null
[2015-12-06 18:38:07.028] [ERROR] company_id_error - name is :上海暨力贸易有限公司, company_id is null
[2015-12-06 18:38:07.050] [ERROR] company_id_error - name is :上海渊臻贸易有限公司, company_id is null
[2015-12-06 18:38:07.131] [ERROR] company_id_error - name is :上海印枫贸易有限公司, company_id is null
[2015-12-06 18:38:07.164] [ERROR] company_id_error - name is :上海尧涤贸易商行, company_id is null
[2015-12-06 18:38:07.192] [ERROR] company_id_error - name is :上海宣鹰贸易有限公司, company_id is null
[2015-12-06 18:38:07.210] [ERROR] company_id_error - name is :上海谢冬服装进出口贸易有限公司, company_id is null
[2015-12-06 18:38:07.313] [ERROR] company_id_error - name is :上海庭详食品贸易有限公司, company_id is null
[2015-12-06 18:38:07.355] [ERROR] company_id_error - name is :上海思橙贸易有限公司, company_id is null
[2015-12-06 18:38:07.388] [ERROR] company_id_error - name is :上海鸿今贸易有限公司, company_id is null
[2015-12-06 18:38:07.428] [ERROR] company_id_error - name is :上海连燊贸易有限公司, company_id is null
[2015-12-06 18:38:07.593] [ERROR] company_id_error - name is :彧妍（上海）贸易有限公司, company_id is null
[2015-12-06 18:38:11.278] [ERROR] company_id_error - name is :上海翔樊贸易有限公司, company_id is null
[2015-12-06 18:38:20.683] [ERROR] company_id_error - name is :芙泺迩国际贸易（上海）有限公司, company_id is null
[2015-12-06 18:38:20.699] [ERROR] company_id_error - name is :上海喜跟贸易有限公司, company_id is null
[2015-12-06 18:38:20.728] [ERROR] company_id_error - name is :上海瞳栎贸易有限公司, company_id is null
[2015-12-06 18:38:20.850] [ERROR] company_id_error - name is :上海葡速贸易有限公司, company_id is null
[2015-12-06 18:38:20.881] [ERROR] company_id_error - name is :上海蔓崎贸易有限公司, company_id is null
[2015-12-06 18:38:21.000] [ERROR] company_id_error - name is :上海怀蕾贸易有限公司, company_id is null
[2015-12-06 18:38:21.060] [ERROR] company_id_error - name is :上海谷柏贸易有限公司, company_id is null
[2015-12-06 18:38:24.222] [ERROR] company_id_error - name is :上海灏吟贸易有限公司, company_id is null
[2015-12-06 18:38:24.272] [ERROR] company_id_error - name is :上海闫润贸易有限公司, company_id is null
[2015-12-06 18:38:24.283] [ERROR] company_id_error - name is :上海雁雨贸易有限公司, company_id is null
[2015-12-06 18:38:24.384] [ERROR] company_id_error - name is :上海岩鲜贸易有限公司, company_id is null
[2015-12-06 18:38:24.427] [ERROR] company_id_error - name is :上海皆耕贸易有限公司, company_id is null
[2015-12-06 18:38:24.454] [ERROR] company_id_error - name is :上海竑宇贸易有限公司, company_id is null
[2015-12-06 18:38:24.465] [ERROR] company_id_error - name is :上海亨贾贸易有限公司, company_id is null
[2015-12-06 18:38:27.485] [ERROR] company_id_error - name is :荣瓦易亚（上海）贸易有限公司, company_id is null
[2015-12-06 18:38:28.330] [ERROR] company_id_error - name is :上海赫于威国际贸易有限公司, company_id is null
[2015-12-06 18:38:34.663] [ERROR] company_id_error - name is :上海筑心贸易有限公司, company_id is null
[2015-12-06 18:38:34.812] [ERROR] company_id_error - name is :上海言诚贸易有限公司, company_id is null
[2015-12-06 18:38:34.833] [ERROR] company_id_error - name is :上海星链贸易有限公司, company_id is null
[2015-12-06 18:38:34.980] [ERROR] company_id_error - name is :上海长辰贸易有限公司, company_id is null
[2015-12-06 18:38:35.296] [ERROR] company_id_error - name is :上海辰签贸易有限公司, company_id is null
[2015-12-06 18:38:35.471] [ERROR] company_id_error - name is :上海意食展贸易有限公司, company_id is null
[2015-12-06 18:41:23.696] [ERROR] company_id_error - name is :上海裔禧服饰有限公司, company_id is null
[2015-12-06 18:41:24.426] [ERROR] company_id_error - name is :上海龙创服饰辅料有限公司, company_id is null
[2015-12-06 18:41:25.093] [ERROR] company_id_error - name is :上海梨世漫服装有限公司, company_id is null
[2015-12-06 18:41:25.905] [ERROR] company_id_error - name is :上海陶蜜服装有限公司, company_id is null
[2015-12-06 18:41:26.017] [ERROR] company_id_error - name is :上海婉玉戏剧服装销售经营部, company_id is null
[2015-12-06 18:41:26.115] [ERROR] company_id_error - name is :上海谢冬服装进出口贸易有限公司, company_id is null
[2015-12-06 18:41:26.496] [ERROR] company_id_error - name is :上海丝繁服装有限公司, company_id is null
[2015-12-06 18:41:27.818] [ERROR] company_id_error - name is :多艳服饰（上海）有限公司, company_id is null
[2015-12-06 18:41:28.285] [ERROR] company_id_error - name is :上海圣界服饰有限公司, company_id is null
[2015-12-06 18:41:28.484] [ERROR] company_id_error - name is :上海安潇纺织服饰有限公司, company_id is null
[2015-12-06 18:41:29.696] [ERROR] company_id_error - name is :上海蕤煦服饰有限公司, company_id is null
[2015-12-06 18:41:29.702] [ERROR] company_id_error - name is :上海安敬纺织服饰有限公司, company_id is null
[2015-12-06 18:41:30.629] [ERROR] company_id_error - name is :上海蕤耀服饰有限公司, company_id is null
[2015-12-06 18:41:30.705] [ERROR] company_id_error - name is :上海芝筱服饰有限公司, company_id is null
[2015-12-06 18:41:30.819] [ERROR] company_id_error - name is :上海司屋服饰有限公司, company_id is null
[2015-12-06 18:41:31.947] [ERROR] company_id_error - name is :上海梨世漫服装有限公司, company_id is null
[2015-12-06 18:41:32.554] [ERROR] company_id_error - name is :上海陶蜜服装有限公司, company_id is null
[2015-12-06 18:41:32.584] [ERROR] company_id_error - name is :上海婉玉戏剧服装销售经营部, company_id is null
[2015-12-06 18:41:32.903] [ERROR] company_id_error - name is :上海丝繁服装有限公司, company_id is null
[2015-12-06 18:41:33.011] [ERROR] company_id_error - name is :上海谢冬服装进出口贸易有限公司, company_id is null
[2015-12-06 18:42:44.644] [ERROR] company_id_error - name is :上海皎凯贸易有限公司, company_id is null
[2015-12-06 18:42:44.876] [ERROR] company_id_error - name is :上海善悟贸易有限公司, company_id is null
[2015-12-06 18:42:47.956] [ERROR] company_id_error - name is :上海昶韩国际贸易有限公司, company_id is null
[2015-12-06 18:42:48.204] [ERROR] company_id_error - name is :上海南辞贸易有限公司, company_id is null
[2015-12-06 18:42:48.417] [ERROR] company_id_error - name is :灿齐国际贸易（上海）有限公司, company_id is null
[2015-12-06 18:42:48.584] [ERROR] company_id_error - name is :上海稳韵贸易有限公司, company_id is null
[2015-12-06 18:42:48.750] [ERROR] company_id_error - name is :上海同莘贸易有限公司, company_id is null
[2015-12-06 18:42:48.898] [ERROR] company_id_error - name is :上海名谓贸易有限公司, company_id is null
[2015-12-06 18:42:49.008] [ERROR] company_id_error - name is :上海第魁贸易有限公司, company_id is null
[2015-12-06 18:42:49.044] [ERROR] company_id_error - name is :上海可莘贸易有限公司, company_id is null
[2015-12-06 18:42:49.107] [ERROR] company_id_error - name is :上海壁裕贸易有限公司, company_id is null
[2015-12-06 18:42:53.341] [ERROR] company_id_error - name is :上海醴仁贸易有限公司, company_id is null
[2015-12-06 18:42:53.523] [ERROR] company_id_error - name is :上海熠箴贸易有限公司, company_id is null
[2015-12-06 18:42:53.599] [ERROR] company_id_error - name is :上海晗臣贸易有限公司, company_id is null
[2015-12-06 18:42:53.884] [ERROR] company_id_error - name is :上海卧迈贸易有限公司, company_id is null
[2015-12-06 18:42:54.097] [ERROR] company_id_error - name is :上海芝庭贸易有限公司, company_id is null
[2015-12-06 18:42:54.139] [ERROR] company_id_error - name is :上海觅恭贸易有限公司, company_id is null
[2015-12-06 18:42:54.142] [ERROR] company_id_error - name is :上海卧朗贸易有限公司, company_id is null
[2015-12-06 18:42:54.319] [ERROR] company_id_error - name is :上海顶确贸易商行, company_id is null
[2015-12-06 18:42:54.331] [ERROR] company_id_error - name is :上海安蒸贸易有限公司, company_id is null
[2015-12-06 18:42:56.288] [ERROR] company_id_error - name is :上海桉夷贸易有限公司, company_id is null
[2015-12-06 18:42:56.496] [ERROR] company_id_error - name is :上海越诺贸易有限公司, company_id is null
[2015-12-06 18:42:56.505] [ERROR] company_id_error - name is :上海邽崃贸易有限公司, company_id is null
[2015-12-06 18:42:56.670] [ERROR] company_id_error - name is :上海席标工业品贸易有限公司, company_id is null
[2015-12-06 18:42:56.676] [ERROR] company_id_error - name is :上海亦槿国际贸易有限公司, company_id is null
[2015-12-06 18:42:56.788] [ERROR] company_id_error - name is :上海添岸贸易有限公司, company_id is null
[2015-12-06 18:42:56.878] [ERROR] company_id_error - name is :上海密智贸易发展有限公司, company_id is null
[2015-12-06 18:42:56.884] [ERROR] company_id_error - name is :上海乾苟贸易有限公司, company_id is null
[2015-12-06 18:42:57.073] [ERROR] company_id_error - name is :上海晨祷国际贸易有限公司, company_id is null
[2015-12-06 18:42:57.346] [ERROR] company_id_error - name is :上海崩箴贸易有限公司, company_id is null
[2015-12-06 18:42:57.346] [ERROR] company_id_error - name is :上海垚泽贸易有限公司, company_id is null
[2015-12-06 18:43:45.424] [ERROR] company_id_error - name is :上海晟范贸易经营部, company_id is null
[2015-12-06 18:43:45.949] [ERROR] company_id_error - name is :上海奕杜贸易有限公司, company_id is null
[2015-12-06 18:43:46.505] [ERROR] company_id_error - name is :上海丽允贸易有限公司, company_id is null
[2015-12-06 18:43:50.543] [ERROR] company_id_error - name is :优看国际贸易（上海）有限公司, company_id is null
[2015-12-06 18:43:50.603] [ERROR] company_id_error - name is :芙泺迩国际贸易（上海）有限公司, company_id is null
[2015-12-06 18:43:50.776] [ERROR] company_id_error - name is :上海芷瑶贸易有限公司, company_id is null
[2015-12-06 18:43:50.950] [ERROR] company_id_error - name is :上海训驰贸易有限公司, company_id is null
[2015-12-06 18:43:51.116] [ERROR] company_id_error - name is :上海率高贸易有限公司, company_id is null
[2015-12-06 18:43:51.139] [ERROR] company_id_error - name is :上海统萃贸易有限公司, company_id is null
[2015-12-06 18:43:51.303] [ERROR] company_id_error - name is :上海谷天贸易有限公司, company_id is null
[2015-12-06 18:43:51.308] [ERROR] company_id_error - name is :上海恭汇贸易有限公司秋月路店, company_id is null
[2015-12-06 18:43:51.456] [ERROR] company_id_error - name is :上海反刍贸易有限公司, company_id is null
[2015-12-06 18:43:51.471] [ERROR] company_id_error - name is :上海纯真贸易有限公司, company_id is null
[2015-12-06 18:43:51.625] [ERROR] company_id_error - name is :上海初得贸易有限公司, company_id is null
[2015-12-06 18:43:51.641] [ERROR] company_id_error - name is :上海橙训贸易有限公司, company_id is null
[2015-12-06 18:43:51.858] [ERROR] company_id_error - name is :上海百斌贸易有限公司, company_id is null
[2015-12-06 18:43:52.060] [ERROR] company_id_error - name is :上海贝煜贸易有限公司, company_id is null
[2015-12-06 18:43:52.060] [ERROR] company_id_error - name is :上海暗宙贸易有限公司, company_id is null
[2015-12-06 18:43:52.117] [ERROR] company_id_error - name is :上海易涣贸易有限公司, company_id is null
[2015-12-06 18:44:06.326] [ERROR] company_id_error - name is :上海禹橙贸易有限公司, company_id is null
[2015-12-06 18:44:06.485] [ERROR] company_id_error - name is :上海竹涛贸易有限公司, company_id is null
[2015-12-06 18:44:06.665] [ERROR] company_id_error - name is :上海瑶敢贸易有限公司, company_id is null
[2015-12-06 18:44:06.673] [ERROR] company_id_error - name is :上海雁市贸易有限公司, company_id is null
[2015-12-06 18:44:06.831] [ERROR] company_id_error - name is :上海鸣赞贸易有限公司, company_id is null
[2015-12-06 18:44:06.955] [ERROR] company_id_error - name is :上海永诸贸易有限公司, company_id is null
[2015-12-06 18:44:07.138] [ERROR] company_id_error - name is :上海廖星贸易有限公司, company_id is null
[2015-12-06 18:44:07.342] [ERROR] company_id_error - name is :上海洪方贸易有限公司, company_id is null
[2015-12-06 18:44:07.538] [ERROR] company_id_error - name is :上海樊邦贸易有限公司, company_id is null
[2015-12-06 18:44:11.960] [ERROR] company_id_error - name is :上海烨充国际贸易有限公司, company_id is null
[2015-12-06 18:44:31.603] [ERROR] company_id_error - name is :上海锐胜贸易有限公司虹口分公司, company_id is null
[2015-12-06 18:44:31.647] [ERROR] company_id_error - name is :上海港硕国际贸易有限公司, company_id is null
[2015-12-06 18:44:31.827] [ERROR] company_id_error - name is :上海顼刚贸易有限公司, company_id is null
[2015-12-06 18:44:32.582] [ERROR] company_id_error - name is :上海子億贸易有限公司, company_id is null
